"TOA5","42214","CR1000","42214","CR1000.Std.22","CPU:MAIZ_PIPE_SLOWSEQ_visto_corto.CR1","14486","Table2"
"TIMESTAMP","RECORD","u","v","w","Tsonica","coderr","vol"
"TS","RN","m/s","m/s","m/s","Deg C","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-01-04 12:27:17.85",37704085.00,3.42,-2.25,-0.22,27.19,0.00,14.90
"2012-01-04 12:27:17.9",37704086.00,3.47,-2.22,-0.08,27.40,0.00,14.90
"2012-01-04 12:27:17.95",37704087.00,3.22,-2.54,0.20,27.54,0.00,14.90
"2012-01-04 12:27:18",37704088.00,3.21,-2.29,0.20,27.47,0.00,14.90
"2012-01-04 12:27:18.05",37704089.00,3.66,-2.16,-0.20,27.59,0.00,14.90
"2012-01-04 12:27:18.1",37704090.00,3.73,-1.96,-0.35,27.59,0.00,14.90
"2012-01-04 12:27:18.15",37704091.00,3.59,-1.74,-0.30,27.15,0.00,14.90
"2012-01-04 12:27:18.2",37704092.00,3.52,-1.71,-0.21,27.47,0.00,14.90
"2012-01-04 12:27:18.25",37704093.00,3.54,-1.77,-0.18,27.63,0.00,14.90
"2012-01-04 12:27:18.3",37704094.00,3.64,-1.73,-0.29,27.42,0.00,14.90
"2012-01-04 12:27:18.35",37704095.00,3.60,-1.78,-0.34,27.48,0.00,14.90
"2012-01-04 12:27:18.4",37704096.00,3.57,-1.91,-0.22,27.54,0.00,14.90
"2012-01-04 12:27:18.45",37704097.00,3.56,-2.08,-0.16,27.67,0.00,14.90
"2012-01-04 12:27:18.5",37704098.00,3.56,-1.91,-0.31,27.67,0.00,14.90
"2012-01-04 12:27:18.55",37704099.00,3.79,-1.95,-0.48,27.50,0.00,14.90
"2012-01-04 12:27:18.6",37704100.00,3.75,-1.83,-0.45,27.54,0.00,14.90
"2012-01-04 12:27:18.65",37704101.00,3.60,-1.91,-0.44,27.54,0.00,14.90
"2012-01-04 12:27:18.7",37704102.00,3.23,-2.06,-0.26,27.61,0.00,14.90
"2012-01-04 12:27:18.75",37704103.00,3.14,-2.09,-0.26,27.56,0.00,14.90
"2012-01-04 12:27:18.8",37704104.00,3.16,-2.15,-0.46,27.35,0.00,14.90
"2012-01-04 12:27:18.85",37704105.00,3.15,-2.05,-0.50,27.34,0.00,14.90
"2012-01-04 12:27:18.9",37704106.00,3.18,-1.81,-1.15,27.41,0.00,14.90
"2012-01-04 12:27:18.95",37704107.00,2.97,-2.01,-0.90,27.37,0.00,14.90
"2012-01-04 12:27:19",37704108.00,2.92,-1.92,-1.10,27.46,0.00,14.90
"2012-01-04 12:27:19.05",37704109.00,3.01,-1.88,-1.15,27.41,0.00,14.90
"2012-01-04 12:27:19.1",37704110.00,3.10,-2.13,-1.12,27.32,0.00,14.90
"2012-01-04 12:27:19.15",37704111.00,3.02,-2.17,-1.21,27.30,0.00,14.90
"2012-01-04 12:27:19.2",37704112.00,3.13,-2.36,-1.40,27.45,0.00,14.90
"2012-01-04 12:27:19.25",37704113.00,3.26,-1.96,-1.10,27.80,0.00,14.90
"2012-01-04 12:27:19.3",37704114.00,3.51,-2.36,-1.02,27.97,0.00,14.90
"2012-01-04 12:27:19.35",37704115.00,3.68,-2.51,-0.73,27.90,0.00,14.90
"2012-01-04 12:27:19.4",37704116.00,3.65,-2.08,-0.44,28.02,0.00,14.90
"2012-01-04 12:27:19.45",37704117.00,3.47,-2.24,-0.16,28.04,0.00,14.90
"2012-01-04 12:27:19.5",37704118.00,3.42,-2.09,0.04,28.03,0.00,14.90
"2012-01-04 12:27:19.55",37704119.00,3.29,-1.83,0.14,28.11,0.00,14.90
"2012-01-04 12:27:19.6",37704120.00,2.83,-1.99,0.39,28.10,0.00,14.90
"2012-01-04 12:27:19.65",37704121.00,2.69,-1.94,0.34,28.15,0.00,14.90
"2012-01-04 12:27:19.7",37704122.00,2.67,-1.83,0.29,28.09,0.00,14.90
"2012-01-04 12:27:19.75",37704123.00,2.41,-1.58,0.33,28.05,0.00,14.90
"2012-01-04 12:27:19.8",37704124.00,2.51,-1.48,-0.09,27.88,0.00,14.90
"2012-01-04 12:27:19.85",37704125.00,3.08,-1.34,-0.18,28.06,0.00,14.90
"2012-01-04 12:27:19.9",37704126.00,3.42,-0.97,-0.09,28.32,0.00,14.90
"2012-01-04 12:27:19.95",37704127.00,3.49,-1.26,0.15,28.46,0.00,14.90
"2012-01-04 12:27:20",37704128.00,3.51,-1.41,-0.21,28.36,0.00,14.90
"2012-01-04 12:27:20.05",37704129.00,3.35,-1.59,0.00,28.37,0.00,14.90
"2012-01-04 12:27:20.1",37704130.00,3.59,-1.37,-0.21,28.51,0.00,14.90
