time,record,u,v,w,Tsonica,coderr,voltaje
2012-01-04 01:00:00.05,36882401.0,-1.02,-1.09,-0.08,13.47,0.0,12.0
2012-01-04 01:00:00.1,36882402.0,-1.06,-1.08,-0.05,13.46,0.0,12.0
2012-01-04 01:00:00.15,36882403.0,-1.09,-1.16,-0.07,13.44,0.0,12.0
2012-01-04 01:00:00.2,36882404.0,-1.01,-1.16,-0.04,13.44,0.0,12.0
2012-01-04 01:00:00.25,36882405.0,-0.96,-1.16,-0.03,13.47,0.0,12.0
2012-01-04 01:00:00.3,36882406.0,-1.03,-1.24,0.02,13.47,0.0,12.0
2012-01-04 01:00:00.35,36882407.0,-1.01,-1.34,0.02,13.47,0.0,12.0
2012-01-04 01:00:00.4,36882408.0,-1.0,-1.42,-0.04,13.44,0.0,12.0
2012-01-04 01:00:00.45,36882409.0,-1.03,-1.27,-0.15,13.42,0.0,12.0
2012-01-04 01:00:00.5,36882410.0,-1.03,-1.25,-0.13,13.44,0.0,12.0
2012-01-04 01:00:00.55,36882411.0,-1.16,-1.2,-0.15,13.42,0.0,12.0
2012-01-04 01:00:00.6,36882412.0,-1.04,-1.31,-0.21,13.47,0.0,12.0
2012-01-04 01:00:00.65,36882413.0,-1.01,-1.23,-0.24,13.47,0.0,12.0
2012-01-04 01:00:00.7,36882414.0,-0.93,-1.27,-0.18,13.49,0.0,12.0
2012-01-04 01:00:00.75,36882415.0,-0.95,-1.26,-0.15,13.52,0.0,12.0
2012-01-04 01:00:00.8,36882416.0,-0.98,-1.18,-0.21,13.58,0.0,12.0
2012-01-04 01:00:00.85,36882417.0,-0.87,-1.2,-0.29,13.58,0.0,12.0
2012-01-04 01:00:00.9,36882418.0,-0.87,-1.2,-0.29,13.58,0.0,12.0
2012-01-04 01:00:00.95,36882419.0,-0.87,-1.2,-0.29,13.58,0.0,12.0
2012-01-04 01:00:01,36882420.0,-0.83,-1.22,-0.32,13.61,0.0,12.0
2012-01-04 01:00:01.05,36882421.0,-0.83,-1.22,-0.32,13.61,0.0,12.0
2012-01-04 01:00:01.1,36882422.0,-0.87,-1.2,-0.29,13.58,0.0,12.0
2012-01-04 01:00:01.15,36882423.0,-0.85,-1.04,-0.32,13.61,0.0,12.0
2012-01-04 01:00:01.2,36882424.0,-0.79,-1.07,-0.22,13.56,0.0,12.0
2012-01-04 01:00:01.25,36882425.0,-0.86,-0.99,-0.17,13.56,0.0,12.0
2012-01-04 01:00:01.3,36882426.0,-0.82,-1.0,-0.14,13.52,0.0,12.0
2012-01-04 01:00:01.35,36882427.0,-0.74,-0.99,-0.26,13.56,0.0,12.0
2012-01-04 01:00:01.4,36882428.0,-0.62,-0.96,-0.15,13.51,0.0,12.0
2012-01-04 01:00:01.45,36882429.0,-0.82,-0.92,0.0,13.52,0.0,12.0
2012-01-04 01:00:01.5,36882430.0,-0.8,-0.88,0.04,13.58,0.0,12.0
2012-01-04 01:00:01.55,36882431.0,-0.88,-0.88,0.0,13.58,0.0,12.0
2012-01-04 01:00:01.6,36882432.0,-0.88,-0.88,0.0,13.58,0.0,12.0
2012-01-04 01:00:01.65,36882433.0,-0.91,-0.92,0.02,13.54,0.0,12.0
2012-01-04 01:00:01.7,36882434.0,-0.95,-0.96,-0.03,13.49,0.0,12.0
2012-01-04 01:00:01.75,36882435.0,-0.97,-0.88,-0.05,13.42,0.0,12.0
